FECHA RECOGIDA MUESTRA;EDAR;RESULTADO SARS-COV-2;VARIACIÓN;OBSERVACIONES
2021-10-13;EDAR ARANDA DE DUERO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-10-13;EDAR ASTORGA;NEGATIVO;S/D;
2021-10-13;EDAR ÁVILA;NEGATIVO;S/D;
2021-10-13;EDAR BÉJAR;NEGATIVO;S/D;
2021-10-13;EDAR BENAVENTE;NEGATIVO;S/D;
2021-10-13;COLECTOR LEÓN;NEGATIVO;S/D;
2021-10-13;EDAR MEDINA DEL CAMPO;NEGATIVO;S/D;
2021-10-13;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-10-13;EDAR ZAMORA;NEGATIVO;S/D;
2021-10-13;EDAR CIUDAD RODRIGO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-10-13;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-10-13;EDAR PONFERRADA;NEGATIVO;S/D;
2021-10-13;EDAR SALAMANCA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-10-13;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-10-13;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-10-13;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-10-13;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-10-13;EDAR BURGOS;NEGATIVO;S/D;
2021-10-13;EDAR LA BAÑEZA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-10-12;EDAR SORIA (VATAR);POSITIVO;Disminución significativa;Destacar que esta semana se produjo el muestreo durante un día festivo, lo que pudo modificar los patrones de la población respecto a otras semanas. Esto hace que se tengan que tomar los resultados con cautela.
2021-10-10;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-10-06;COLECTOR LEÓN;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-10-06;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
